time,signal,trend,periodic,ar_noise,pulses
33,148.3528767280358,161.4024562024095,-25.542527332671995,-13.939802264074785,26.43275012237309
34,154.42914478339802,166.81398890445857,-29.79893972316879,-13.138490519566192,30.552586121674416
35,159.0356701369937,172.54780957039003,-31.067627457812108,-16.73725217203014,34.292740196445905
36,164.59959419325662,178.72804458894328,-29.272425210631024,-22.315602967049905,37.45957778199424
37,182.6233683974857,185.200294477288,-24.648534918999452,-17.838391821411772,39.91000066060893
38,198.47229845762877,192.13684691418044,-17.712381507544663,-17.506342671535247,41.55417572252824
39,217.9350747418687,199.50964970068594,-9.202736200283406,-14.718697663297087,42.34685890476325
40,237.89203678181394,207.12187584575847,-1.4405955974891524e-14,-11.503923453836814,42.27408438989232
41,259.09202277335993,215.11085085899288,8.967271752048402,-6.329346023536471,41.343246185855115
42,272.6510954332803,223.57613399701728,16.818389093872085,-7.325546931776151,39.582119274167084
43,286.65971663750594,232.20190685729816,22.8088949798417,-5.398601237910427,37.04751603827652
44,298.8072730391299,241.1776928778648,26.40221731717133,-2.6125084024953296,33.83987124658907
45,304.57868628771934,250.42811790334616,27.317627457812105,-3.286001510784512,30.118942437345595
46,307.91423342257133,259.950020666467,25.55029894031516,-3.704806451515914,26.118720267305076
47,302.331210945247,269.6963406420929,21.362384868834937,-10.890283005567436,22.16276843988658
48,303.7159642713645,279.5441088958512,15.247149004646035,-9.751228007934737,18.675934378802022
49,304.0715808947012,289.5142430414868,7.870949891525168,-9.481778748829736,16.168166710518943
50,301.8858151554412,299.4743489294916,1.5308084989341916e-14,-12.73123823746183,15.14270446341141
51,310.08007021894986,309.4634139141058,-7.579899827222206,-7.696904458181439,15.89346059024772
52,319.2035293076907,319.3715933893604,-14.14211360997762,-4.268140170418163,18.242189698726133
53,331.7605527741975,329.2068234260052,-19.08846484991243,0.25195571571870357,21.390238482386057
54,346.8445497717909,338.87277514301564,-22.002526874442527,5.884566640571602,24.089734862646203
55,356.4855469643366,348.38840791859815,-22.682372542187895,5.61842038917613,25.16109119875024
56,367.7428623792847,357.60193417441127,-21.150608497586333,7.205723913147162,24.08581278931265
57,376.21421067686697,366.67169166450714,-17.641954738905696,5.91636549105183,21.268108260213722
58,382.31323274433225,375.38776466507215,-12.57087352075157,1.7258008418226702,17.77054075818901
59,384.7618748661344,383.70538489611795,-6.483577966698956,-7.182573032393006,14.722640969108399
60,402.3666738635701,391.71246791817384,-1.5130470012083315e-14,-2.157324766214918,12.811530711611146
61,406.5579377717782,399.3115115474934,6.248113518464,-11.127074133286115,12.125386839106884
62,423.9648939954109,406.5711407571417,11.676881107078993,-6.602904787969429,12.319776919159615
63,437.7309245061413,413.5884335088936,15.802314799747938,-4.556740560794917,12.89691675829471
64,446.0324551026454,420.20260898201263,18.280400604126655,-5.868318400996188,13.417763917502283
65,456.65878420441504,426.3899967242173,18.932372542187895,-2.2565134880389586,13.59292842604873
66,464.0422056630153,432.179884278756,17.75388609158889,0.8210298093655406,13.287405483304891
67,463.1851177023977,437.52630197869195,14.9083223860754,-1.7394723630162963,12.489965700646685
68,464.19931952653803,442.59132837289707,10.705801327450883,-0.3742144942446526,11.2764043204347
69,463.17461354615966,447.2617512546396,5.570549346051008,0.5662355245882564,9.77607742088085
70,459.50203604083157,451.60727033984915,1.5316600313010946e-14,-0.2598637575039619,8.15462945848639
71,451.1504510544777,455.6822834423703,-5.480609929967539,-5.740390491098852,6.689168033173834
72,450.90914647387785,459.36928530024045,-10.364326611112501,-4.175251280607904,6.0794390653578265
73,453.9046468199167,462.82512673075627,-14.205642456378875,-2.206737746745893,7.491900292285217
74,466.6410752202496,466.0555779315636,-16.657564231065525,6.558017081234061,10.685044438517409
75,473.71181807913064,469.00049099327276,-17.5,10.062085060028167,12.149242025829713
76,471.0979768183603,471.6870958845232,-16.657564231065532,6.830806120246244,9.237639044656348
77,468.51699085342665,474.14374122875597,-14.205642456378893,4.039865611840746,4.539026469208825
78,467.4523154010398,476.3987439701414,-10.364326611112526,-0.1076496952364332,1.5255477372473638
79,466.2254913737702,478.49001810937875,-5.48060992996751,-7.222357593251999,0.4384407876109152
80,483.2242076426758,480.42642318917774,-1.750468607201251e-14,2.64041893490252,0.15736551859558004
81,487.730408638441,482.1706210759242,5.570549346050976,-0.08498041257900502,0.07421862904484239
82,489.10977093985576,483.72453305180096,10.705801327450803,-5.35780614205581,0.03724270265985994
83,488.80819710163286,485.1067577839447,14.90832238607538,-11.22509175582239,0.01820868743516302
84,491.5554153122631,486.34273616171686,17.753886091588882,-12.549763811403835,0.008556870361189245
85,506.85623464383383,487.6017902046615,18.932372542187892,0.31821132933391105,0.003860567650595225
86,505.7830072658601,488.68923932701125,18.280400604126665,-1.1883047639069158,0.0016720986290777859
87,506.56688943933847,489.71764525424805,15.802314799747958,1.0462341268140847,0.0006952585284169527
88,509.1540603942422,490.5688149243732,11.676881107079078,6.908086836293058,0.0002775264968542168
89,505.92196917418465,491.46378264648166,6.248113518463967,8.209966659537042,0.00010634970197281254
90,493.08563276994124,492.14576119324516,2.2695705018124967e-14,0.939832452827134,3.9123868930506613e-05
91,494.7760193575121,492.8772677514078,-6.483577966698847,8.382315755572439,1.3817230672773e-05
92,493.0152755577775,493.4947842880124,-12.570873520751535,12.091360105901504,4.6846151151180975e-06
93,484.0377765785126,493.97741376150503,-17.641954738905625,7.702316031156612,1.524756583793062e-06
94,473.2491516987166,494.5333856225289,-21.150608497586347,-0.13362590265782348,4.7643187961693467e-07
95,471.7581879946251,494.9566743192214,-22.682372542187892,-0.5161139253224936,1.4291400994611652e-07
96,466.2250172262273,495.43427587857053,-22.002526874442534,-7.206731819055693,4.1154989082924115e-08
97,469.37470531945576,495.78374643559135,-19.088464849912455,-7.320576277600608,1.1377422115980883e-08
98,466.68914212683893,496.1474726336972,-14.142113609977725,-15.316216899900027,3.0195272010837478e-09
99,469.4268779057341,496.497949407527,-7.579899827222249,-19.491171675339988,7.693212275414739e-10
100,482.7872620730122,496.76094110866086,-3.0616169978683825e-14,-13.97367903583675,1.8816991128577634e-10
101,494.5428339199696,497.03477795765974,7.870949891525122,-10.36289392925941,4.4184133155885144e-11
102,495.52548170952576,497.22986303625004,15.247149004645923,-16.951530331380106,9.959927852989423e-12
103,503.8578100115422,497.4324860566834,21.36238486883491,-14.93706091397829,2.155359612096505e-12
104,515.2145571463253,497.6480751640802,25.550298940315137,-7.983816958070365,4.4777205205558617e-13
105,518.2891424262854,497.8838861479836,27.317627457812105,-6.912371179510491,8.930338495461962e-14
106,527.7046973910283,498.07472251272554,26.40221731717133,3.227757561131356,1.7098285034535258e-14
107,535.5690579273474,498.14660115457343,22.808894979841757,14.613561792932249,3.142757556022106e-15
108,527.2399061316587,498.2362216050001,16.818389093872128,12.185295432786438,5.54552797412954e-16
109,513.588562471782,498.42042262770815,8.96727175204865,6.2008680920252,9.393958044905544e-17
